Age32-40, State-gov, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, Some-college,EduNum10, Divorced, Exec-managerial, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age24-31, Private, Assoc-acdm,EduNum12, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Widowed, Machine-op-inspct, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age61-70, State-gov, Prof-school,EduNum15, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour21-35, United-States, >50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Sales, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Sales, Own-child, Black, Male,Hour21-35, United-States, <=50K
Age51-60, State-gov, Assoc-acdm,EduNum12, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour1-20, Mexico, <=50K
Age61-70, Private, Some-college,EduNum10, Widowed, Tech-support, Not-in-family, White, Female,Hour21-35, United-States, <=50K
Age32-40, Self-emp-inc, Assoc-voc,EduNum11, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States, >50K
Age51-60, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, Private, 10th,EduNum6, Divorced, Craft-repair, Not-in-family, Black, Female,Hour21-35, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Divorced, Tech-support, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age17-23, ?, 10th,EduNum6, Never-married, ?, Own-child, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Tech-support, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age71-80, Self-emp-not-inc, HS-grad,EduNum9, Widowed, Farming-fishing, Not-in-family, White, Female,Hour1-20, United-States, <=50K
Age24-31, State-gov, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour36-50, United-States, >50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Other-service, Not-in-family, Black, Male,Hour21-35, United-States, <=50K
Age51-60, Self-emp-inc, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, 11th,EduNum7, Never-married, Transport-moving, Own-child, White, Male,Hour1-20, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Widowed, Machine-op-inspct, Own-child, White, Female,Hour21-35, United-States, <=50K
Age41-50, State-gov, HS-grad,EduNum9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Preschool,EduNum1, Never-married, Farming-fishing, Not-in-family, White, Male,Hour21-35, Mexico, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour1-20, United-States, >50K
Age32-40, Private, Assoc-voc,EduNum11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, 10th,EduNum6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Federal-gov, HS-grad,EduNum9, Divorced, Adm-clerical, Not-in-family, Black, Female,Hour51-70, United-States, <=50K
Age32-40, Private, 11th,EduNum7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,Hour36-50, United-States, >50K
Age41-50, Federal-gov, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Exec-managerial, Own-child, White, Female,Hour1-20, United-States, <=50K
Age71-80, ?, Assoc-acdm,EduNum12, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, Mexico, <=50K
Age61-70, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, Cuba, <=50K
Age51-60, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour71-99, United-States, <=50K
Age24-31, State-gov, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour1-20, Taiwan, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Adm-clerical, Own-child, White, Female,Hour1-20, United-States, <=50K
Age17-23, Self-emp-not-inc, 11th,EduNum7, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, 11th,EduNum7, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Own-child, Black, Male,Hour1-20, United-States, <=50K
Age41-50, Self-emp-not-inc, HS-grad,EduNum9, Divorced, Craft-repair, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Self-emp-not-inc, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Sales, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, 7th-8th,EduNum4, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Separated, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Federal-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, State-gov, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour71-99, United-States, >50K
Age51-60, Federal-gov, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Handlers-cleaners, Own-child, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Separated, Machine-op-inspct, Unmarried, Black, Female,Hour51-70, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, ?, 5th-6th,EduNum3, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Divorced, Sales, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Masters,EduNum14, Separated, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age51-60, State-gov, Bachelors,EduNum13, Separated, Prof-specialty, Not-in-family, White, Female,Hour36-50, ?, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States, <=50K
Age51-60, ?, Some-college,EduNum10, Never-married, ?, Not-in-family, Black, Female,Hour36-50, United-States, <=50K
Age51-60, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, >50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, Some-college,EduNum10, Never-married, Exec-managerial, Own-child, White, Female,Hour1-20, United-States, <=50K
Age61-70, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Sales, Not-in-family, White, Female,Hour21-35, United-States, <=50K
Age51-60, Federal-gov, Bachelors,EduNum13, Separated, Adm-clerical, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Masters,EduNum14, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, Nicaragua, <=50K
Age41-50, Private, 9th,EduNum5, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour21-35, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Masters,EduNum14, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age17-23, ?, Some-college,EduNum10, Never-married, ?, Own-child, White, Male,Hour21-35, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Handlers-cleaners, Unmarried, White, Male,Hour21-35, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Widowed, Machine-op-inspct, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, 5th-6th,EduNum3, Never-married, Other-service, Own-child, White, Female,Hour36-50, El-Salvador, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States, >50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Own-child, White, Male,Hour51-70, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, <=50K
Age32-40, Local-gov, Assoc-acdm,EduNum12, Married-civ-spouse, Craft-repair, Husband, Black, Male,Hour36-50, United-States, >50K
Age32-40, Private, Assoc-voc,EduNum11, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Local-gov, 11th,EduNum7, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, Mexico, <=50K
Age51-60, Self-emp-not-inc, Masters,EduNum14, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, ?, HS-grad,EduNum9, Divorced, ?, Unmarried, Black, Female,Hour1-20, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Self-emp-inc, Prof-school,EduNum15, Never-married, Other-service, Not-in-family, White, Male,Hour51-70, United-States, >50K
Age61-70, Self-emp-inc, 1st-4th,EduNum2, Married-civ-spouse, Sales, Husband, White, Male,Hour1-20, United-States, <=50K
Age24-31, Private, 9th,EduNum5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Local-gov, HS-grad,EduNum9, Never-married, Transport-moving, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, >50K
Age51-60, Private, Some-college,EduNum10, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States, >50K
Age61-70, ?, Bachelors,EduNum13, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,Hour36-50, China, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Divorced, Sales, Other-relative, Asian-Pac-Islander, Female,Hour36-50, South, <=50K
Age32-40, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,Hour51-70, India, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Male,Hour1-20, Hungary, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Widowed, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age51-60, Private, 7th-8th,EduNum4, Never-married, Farming-fishing, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age32-40, Federal-gov, Assoc-acdm,EduNum12, Divorced, Exec-managerial, Unmarried, White, Male,Hour36-50, United-States, >50K
Age61-70, Self-emp-not-inc, Some-college,EduNum10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour21-35, United-States, >50K
Age17-23, Local-gov, HS-grad,EduNum9, Never-married, Other-service, Own-child, White, Male,Hour51-70, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour36-50, ?, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Handlers-cleaners, Other-relative, White, Male,Hour36-50, United-States, <=50K
Age24-31, Local-gov, HS-grad,EduNum9, Never-married, Prof-specialty, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Transport-moving, Not-in-family, White, Male,Hour36-50, United-States, >50K
Age32-40, Self-emp-not-inc, Assoc-acdm,EduNum12, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Farming-fishing, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Self-emp-not-inc, HS-grad,EduNum9, Separated, Transport-moving, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, 10th,EduNum6, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Self-emp-inc, Some-college,EduNum10, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, 9th,EduNum5, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, Mexico, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Sales, Own-child, White, Male,Hour1-20, United-States, <=50K
Age61-70, Private, Bachelors,EduNum13, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, Bachelors,EduNum13, Never-married, Exec-managerial, Own-child, White, Female,Hour36-50, United-States, <=50K
Age61-70, Private, 10th,EduNum6, Married-civ-spouse, Other-service, Husband, Black, Male,Hour36-50, United-States, <=50K
Age61-70, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, Self-emp-not-inc, Some-college,EduNum10, Divorced, Other-service, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age61-70, Federal-gov, HS-grad,EduNum9, Divorced, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Federal-gov, HS-grad,EduNum9, Never-married, Adm-clerical, Unmarried, Black, Female,Hour1-20, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Adm-clerical, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Separated, Adm-clerical, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Craft-repair, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, ?, Some-college,EduNum10, Never-married, ?, Own-child, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, Assoc-acdm,EduNum12, Never-married, Tech-support, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour21-35, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age51-60, Private, Some-college,EduNum10, Widowed, Sales, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Divorced, Machine-op-inspct, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, 5th-6th,EduNum3, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Handlers-cleaners, Other-relative, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Private, 5th-6th,EduNum3, Never-married, Farming-fishing, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Assoc-acdm,EduNum12, Divorced, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Other-service, Not-in-family, White, Female,Hour1-20, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Craft-repair, Own-child, White, Male,Hour36-50, Mexico, <=50K
Age51-60, Local-gov, HS-grad,EduNum9, Divorced, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour51-70, United-States, <=50K
Age41-50, Private, Assoc-voc,EduNum11, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, Assoc-acdm,EduNum12, Separated, Adm-clerical, Unmarried, White, Female,Hour51-70, United-States, <=50K
Age32-40, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Other-service, Husband, White, Male,Hour71-99, Italy, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Assoc-voc,EduNum11, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States, <=50K
Age51-60, Private, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States, >50K
Age71-80, Self-emp-not-inc, Assoc-voc,EduNum11, Widowed, Exec-managerial, Not-in-family, White, Female,Hour21-35, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Federal-gov, Assoc-acdm,EduNum12, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Widowed, Machine-op-inspct, Not-in-family, Black, Female,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Other-service, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Assoc-voc,EduNum11, Never-married, Other-service, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, Some-college,EduNum10, Never-married, Sales, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, 10th,EduNum6, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, ?, 10th,EduNum6, Divorced, ?, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age61-70, Private, 9th,EduNum5, Divorced, Farming-fishing, Not-in-family, Black, Male,Hour1-20, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States, <=50K
Age41-50, Local-gov, Masters,EduNum14, Divorced, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Federal-gov, Assoc-voc,EduNum11, Never-married, Tech-support, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour71-99, United-States, >50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Other-service, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age24-31, Local-gov, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, ?, 11th,EduNum7, Never-married, ?, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, Other, Male,Hour36-50, United-States, >50K
Age51-60, Local-gov, 12th,EduNum8, Never-married, Handlers-cleaners, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Handlers-cleaners, Own-child, White, Male,Hour21-35, United-States, <=50K
Age32-40, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Sales, Own-child, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Craft-repair, Other-relative, White, Male,Hour36-50, ?, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, Germany, <=50K
Age41-50, Local-gov, Bachelors,EduNum13, Never-married, Prof-specialty, Own-child, White, Male,Hour51-70, United-States, <=50K
Age17-23, State-gov, Some-college,EduNum10, Never-married, Sales, Own-child, Black, Female,Hour1-20, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States, <=50K
Age17-23, Private, 9th,EduNum5, Never-married, Transport-moving, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Local-gov, Some-college,EduNum10, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,Hour21-35, United-States, <=50K
Age41-50, ?, Assoc-voc,EduNum11, Divorced, ?, Unmarried, White, Male,Hour21-35, United-States, <=50K
Age41-50, Self-emp-not-inc, Bachelors,EduNum13, Divorced, Sales, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, 1st-4th,EduNum2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Private, Some-college,EduNum10, Divorced, Transport-moving, Unmarried, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Prof-school,EduNum15, Divorced, Prof-specialty, Not-in-family, White, Female,Hour1-20, United-States, <=50K
Age61-70, Local-gov, Some-college,EduNum10, Never-married, Transport-moving, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age24-31, Federal-gov, Assoc-voc,EduNum11, Never-married, Prof-specialty, Own-child, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Masters,EduNum14, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour1-20, Canada, >50K
Age24-31, Private, Some-college,EduNum10, Divorced, Tech-support, Not-in-family, White, Male,Hour21-35, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Self-emp-inc, 7th-8th,EduNum4, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States, <=50K
